1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
3,Operating,Bell Mountain,Double,Riblet,1985-,1000,2158,6803,,500,,,Top,Bottom,13.6,Retrofitted with a Poma bottom terminal and towers,aspen-mountain-co/
4,Operating,FIS,Double,Leitner-Poma,2004-,1200,602,1519,125,500,,,Top,Top,3,,aspen-mountain-co/
5,Operating,Gent's Ridge,Quad,Poma,1985-,1750,1079,5440,,450,,,Top,Top,12.1,,aspen-mountain-co/
6,Operating,Little Nell,Quad,Poma,1986-,1700,550,2208,,500,,,Top,Top,4.4,Retrofitted with new bottom terminal,aspen-mountain-co/
7,Operating,Ruthies,High Speed Triple,Poma,1997-,1800,1358,5511,500,1100,,,Top,Dual,5,,aspen-mountain-co/
8,Operating,Shadow Mountain,Double,SLI,1971-,1071,1393,3625,,500,,,Bottom,Bottom,7.3,,aspen-mountain-co/
9,Operating,Silver Queen Gondola,Gondola 6,Poma,1986-,2000,3264,13216,,1000,,,Top,Bottom,13.2,New cabins in 2005,aspen-mountain-co/
10,Removed,4 Little Nell,Double,Riblet,1956-1986,900,836,3100,,,,,,,,,aspen-mountain-co/
11,Removed,6 FIS,Double,Riblet,1958-2004,900,591,1372,,,,,,,4,,aspen-mountain-co/
12,Removed,8 Ruthies,Double,Riblet,1963-1997,1000,1364,5690,,,,,,,11,,aspen-mountain-co/
13,Removed,Ajax,Double,Riblet,1968-1986,1200,1108,4956,,500,,,,,9.9,,aspen-mountain-co/
14,Removed,Ajax Express,High Speed Quad,Poma,1985-2003,1700,1107,4721,,,,,,,5,,aspen-mountain-co/
15,Removed,Chair 2,Double,Riblet,,800,739,5173,,,,,,,13,,aspen-mountain-co/
16,Removed,Lift 1,Single,American Steel & Wire,1946-1971,,,,,,,,Top,Bottom,,,aspen-mountain-co/
17,Removed,Little Nell,T-Bar,Constam,1947-1956,,,,,,,,,,,,aspen-mountain-co/
18,Removed,Lift 3,Single,American Steel & Wire,1954-,,,,,,,,,,,,aspen-mountain-co/
19,Removed,Lift 5,,,1957-,,,,,,,,,,,,aspen-mountain-co/
2,Operating,Abenaki,Quad,Garaventa CTEC,1994-,2400,1020,3825,400,460,170,17,Bottom,Bottom,8.3,Lengthened by 6 towers in 2007,attitash-nh/
3,Operating,Flying Bear,High Speed Quad,Doppelmayr,1995-,2800,1467,5215,700,1000,82,17,Top,Top,5.2,,attitash-nh/
4,Operating,Flying Yankee,High Speed Quad,Garaventa CTEC,1998-,2800,883,3070,500,1070,81,12,Bottom,Top,2.9,,attitash-nh/
5,Operating,Kachina,Triple,Borvig,,,512,2200,,,,,Bottom,Bottom,,,attitash-nh/
6,Operating,Learning Center,Triple,CTEC,1988-,1200,263,1210,50,350,35,4,Bottom,Bottom,3.5,,attitash-nh/
7,Operating,Progression,Quad,Doppelmayr,2022-,1800,637,2708,212,450,92,10,Bottom,Bottom,6,,attitash-nh/
8,Operating,Summit,Triple,CTEC,1986-,1500,1672,6205,,500,207,28,Bottom,Bottom,12.4,,attitash-nh/
9,Removed,2,Double,Mueller,1964-,900,900,3750,,,,,,,,,attitash-nh/
10,Removed,East Double Double,Double,Borvig,1973-2022,1200,633,2713,,450,121,14,Bottom,Bottom,6,Midstation,attitash-nh/
11,Removed,Top Notch,Double,Hall,1968-2018,950,1525,4961,,500,,30,Bottom,Top,9.9,,attitash-nh/
12,Removed,West Double Double,Double,Borvig,1973-2022,1200,633,2713,,450,121,13,Bottom,Bottom,6,,attitash-nh/
2,Operating,,Triple,Hall,1970-,1800,176,903,,465,,,,,1.9,,ausblick-wi/
2,Operating,T-Bar,T-Bar,Doppelmayr,2002-,,,,,,,6,Bottom,Top,,Relocated,badger-mountain-wa/
2,Operating,T-Bar,T-Bar,Samson,,,,,,,,5,Bottom,Top,,,baie-des-sables-qc/
2,Operating,T-Bar,T-Bar,Poma,1968-,800,430,2170,,415,,7,Bottom,Top,5.2,,baker-mountain-me/
2,Operating,T-Bar,T-Bar,Hall,1968-,1000,630,3070,,450,,16,Bottom,Top,6.8,,bald-mountain-id/
2,Operating,Sulfur Mountain Gondola,Gondola 4,Bell,1959-,650,2292,4498,,780,40,3,Top,Bottom,5.8,Retrofitted by Garaventa in 1997,banff-gondola-ab/
2,Operating,Chairlift,Quad,Leitner-Poma,2008-,1800,164,689,75,450,,3,Bottom,Bottom,1.5,,batawa-on/
3,Operating,T-Bar 2,T-Bar,Skyway,1977-,1200,164,681,,400,,,,,1.7,,batawa-on/
4,Removed,T-Bar 1,T-Bar,Skyway,1972-,1000,160,650,,400,,5,Bottom,Top,1.6,,batawa-on/
2,Operating,T-Bar,T-Bar,Hall,1988-,,590,,,,,13,Bottom,Top,,Relocated,bear-canyon-mt/
2,Operating,A,Quad,Doppelmayr CTEC,2008-,1800,435,2661,200,450,90,15,Bottom,Bottom,5.9,,bear-creek-pa/
3,Operating,B,Quad,Doppelmayr CTEC,2003-,1700,460,2740,125,450,,11,Bottom,Bottom,6.1,,bear-creek-pa/
4,Operating,E,Triple,Hall,,,,,,,,9,Bottom,Bottom,,Relocated,bear-creek-pa/
5,Operating,F,Quad,Doppelmayr CTEC,2006-,2200,380,1980,150,450,,12,Bottom,Bottom,4.4,,bear-creek-pa/
6,Removed,B,Double,Hall,1969-2003,845,464,2879,,,,,,,,Retrofitted by Mad River Lifts in 2004,bear-creek-pa/
7,Removed,A,Double,Hall,1971-,1000,458,2800,,465,,,,,6,Retrofitted by Mad River Lifts in 2004,bear-creek-pa/
8,Removed,E,Double,Hall,1978-2006,1000,189,1085,,400,,,,,2.7,,bear-creek-pa/
9,Removed,F,Double,Hall,1967-2008,,351,1955,,,,,Bottom,Bottom,,Retrofitted by Mad River Lifts in 2004,bear-creek-pa/
10,Removed,,Triple,Hall,1981-2006,1639,399,2130,,420,,,,,5.1,,bear-creek-pa/
2,Operating,2 Hibernation,Double,Riblet,1974-,1000,519,2896,,400,,19,Bottom,Top,7.2,,bear-mountain-ca/
3,Operating,3 Showdown,Double,Riblet,1981-,1150,336,1775,,380,,14,Bottom,Bottom,4.7,,bear-mountain-ca/
4,Operating,4 Silver Mountain,Double,Hall,1979-,1139,932,3000,,500,,13,Bottom,Bottom,6,,bear-mountain-ca/
5,Operating,5 Gold Rush,Quad,CTEC,1991-,2400,419,1660,200,450,,9,Top,Bottom,3.7,,bear-mountain-ca/
6,Operating,6 Access Express,High Speed Quad,Poma,1998-,2400,546,3638,40,900,,,Bottom,Dual,4,,bear-mountain-ca/
7,Operating,7 Inspiration,Triple,CTEC,1983-,1200,83,585,,250,,,Bottom,Bottom,2.3,,bear-mountain-ca/
8,Operating,8 Bear Peak,Triple,CTEC,1985-,1200,1130,3630,,500,,,Top,Bottom,7.3,,bear-mountain-ca/
9,Operating,9 Bear Mountain Express,High Speed Quad,CTEC,1990-,3000,1310,5635,700,1000,,26,Top,Bottom,5.6,,bear-mountain-ca/
10,Removed,1 Goldmine,Double,Riblet,1978-2017,1200,600,1965,,400,,,,,4.9,,bear-mountain-ca/
11,Removed,Bear Mountain,Double,Hall,1970-1990,950,1300,5615,,500,,,,,11.2,,bear-mountain-ca/
12,Removed,Clementine,Triple,CTEC,1983-1998,1800,575,3758,,450,,,,,8.4,,bear-mountain-ca/
13,Removed,Poma 1,Platter,Poma,1988-,500,22.5,320,3,283,,,,,1.1,,bear-mountain-ca/
14,Removed,Poma 2,Platter,Poma,1988-,500,22.5,320,3,283,,2,Bottom,Top,1.1,,bear-mountain-ca/
2,Operating,Chairlift,Double,Riblet,1977-,720,877,2465,,450,72,13,Bottom,Bottom,5.5,Many SLI parts,bear-paw-mt/
2,Operating,Mokelumne Express,High Speed Six,Leitner-Poma,2017-,3000,730,3100,400,1000,,11,Top,Dual,3.1,,bear-valley-ca/
3,Operating,Cub,Double,Riblet,1967-,1200,200,1450,,,,9,Bottom,Top,,,bear-valley-ca/
4,Operating,Grizzly,Double,Riblet,1967-,1200,1267,2918,,,,21,Top,Bottom,,,bear-valley-ca/
5,Operating,Koala,Double,Riblet,1968-,1200,500,1816,,450,,11,Bottom,Top,4,,bear-valley-ca/
6,Operating,Kuma,Triple,Yan,1981-,1900,733,3065,200,500,129,13,Top,Bottom,6.1,,bear-valley-ca/
7,Operating,Polar Express,High Speed Quad,Leitner-Poma,2006-,2400,953,4400,500,1000,,14,Top,Dual,4.4,,bear-valley-ca/
8,Operating,Pooh Bear,Triple,Yan,1981-,2000,735,2770,,500,,13,Top,Bottom,5.5,,bear-valley-ca/
9,Operating,Super Cub,Double,Riblet,1970-,1100,253,1524,,350,,10,Bottom,Top,4.4,,bear-valley-ca/
10,Removed,Bear,Double,Riblet,1967-2017,1200,709,2950,,,,18,Top,Bottom,,,bear-valley-ca/
11,Removed,Hibernation,Double,Riblet,1976-2006,1160,951,4468,,450,,,Top,Top,9.9,,bear-valley-ca/
12,Removed,Kodiak,Double,Riblet,1973-2007,1200,1070,2730,,450,,,Top,Bottom,6.1,,bear-valley-ca/
13,Removed,,Platter,Yan,1974-,600,100,780,,407,,,,,1.9,,bear-valley-ca/
2,Operating,Poma 1,Platter,Doppelmayr,1983-,,,,,,,4,Top,Bottom,,,beartooth-basin-wy/
3,Operating,Poma 2,Platter,Doppelmayr,1984-,587,288,833,,528,,2,Top,Bottom,1.6,,beartooth-basin-wy/
2,Operating,Poma,Platter,Poma,1977-,720,107,626,,421,,3,Bottom,Top,1.5,,beartown-ny/
3,Operating,T-Bar,T-Bar,Hall,1971-,1150,132,939,,450,,6,Bottom,Bottom,2.1,,beartown-ny/
2,Operating,Arrow Bahn Express,High Speed Quad,Doppelmayr,1988-,1200,1713,7809,700,1000,153,26,Top,Bottom,7.8,,beaver-creek-co/
3,Operating,Bachelor Express,High Speed Quad,Garaventa CTEC,1997-,2400,1255,5957,600,1000,134,21,Top,Bottom,6,,beaver-creek-co/
4,Operating,Birds of Prey Express,High Speed Quad,Doppelmayr CTEC,2003-,2600,2158,6453,900,1000,137,22,Top,Dual,6.5,,beaver-creek-co/
5,Operating,Centennial Express,Chondola 6/10,Doppelmayr,2014-,3400,2102,7876,1833,1000,,25,Top,Bottom,7.9,,beaver-creek-co/
6,Operating,Cinch Express,High Speed Quad,Garaventa CTEC,1996-,2800,1458,6170,700,984,127,24,Top,Bottom,6.3,Formerly called Birds of Prey Express,beaver-creek-co/
7,Operating,Elkhorn,Triple,Doppelmayr,1995-,,,,,,165,23,Top,Bottom,,Relocated from Strawberry by Garaventa CTEC,beaver-creek-co/
8,Operating,Grouse Mountain Express,High Speed Quad,CTEC,1991-,2800,1811,5420,800,984,113,19,Top,Bottom,5.5,,beaver-creek-co/
9,Operating,Haymeadow Express,Gondola 8,Doppelmayr CTEC,2007-,2200,336,1671,250,600,26,10,Top,Bottom,2.8,Formerly called Buckaroo Express,beaver-creek-co/
10,Operating,Highlands,Double,Yan,1992-,,196,,,,,,Top,Bottom,4,"Relocated from Vail, CO",beaver-creek-co/
11,Operating,Larkspur Express,High Speed Quad,Doppelmayr CTEC,2005-,2600,1524,5633,700,1000,117,17,Top,Bottom,5.6,,beaver-creek-co/
12,Operating,Lower Beaver Creek Mountain Express,High Speed Quad,Doppelmayr CTEC,2004-,2400,905,6416,600,1000,135,27,Top,Bottom,6.4,,beaver-creek-co/
13,Operating,McCoy Park Express,High Speed Quad,Doppelmayr,2021-,2400,921,6150,600,1000,118,21,Top,,6.2,,beaver-creek-co/
14,Operating,Red Buffalo Express,High Speed Quad,Doppelmayr,2017-,2000,816,4607,400,1000,79,13,Top,Bottom,4.6,,beaver-creek-co/
15,Operating,Reunion,Quad,Doppelmayr,2021-,1800,480,2766,250,450,94,11,Top,Bottom,6.1,,beaver-creek-co/
16,Operating,Riverfront Express,Gondola 8,Doppelmayr CTEC,2006-,1600,63,2210,250,800,18,9,Top,Bottom,2.8,,beaver-creek-co/
17,Operating,Rose Bowl Express,High Speed Quad,Doppelmayr,2011-,2400,1326,4714,600,1000,,17,Top,Bottom,4.7,,beaver-creek-co/
18,Operating,Strawberry Park Express,High Speed Quad,Garaventa CTEC,1994-,2800,1752,6840,800,984,139,29,Top,Bottom,7,,beaver-creek-co/
19,Operating,Upper Beaver Creek Mountain Express,High Speed Quad,Doppelmayr CTEC,2004-,2600,1482,8591,800,1000,178,25,Top,Bottom,8.6,,beaver-creek-co/
20,Removed,Centennial,Triple,Doppelmayr,1980-1986,1830,1253,4668,,475,,,Top,Bottom,9.8,,beaver-creek-co/
21,Removed,Centennial Express,High Speed Quad,Doppelmayr,1986-2014,2800,2091,7654,,984,195,30,Top,Bottom,7.8,,beaver-creek-co/
22,Removed,Haymeadow,Double,Doppelmayr,1980-2007,1465,339,1746,,360,,,Top,Bottom,4.9,,beaver-creek-co/
23,Removed,Larkspur,Triple,Doppelmayr,1983-2005,1800,1529,5566,,475,,,Top,Bottom,11.7,,beaver-creek-co/
24,Removed,Rose Bowl,Triple,Doppelmayr,1986-2011,,1329,,,,199,20,Top,Bottom,10.5,Relocated from Centennial,beaver-creek-co/
25,Removed,Strawberry Park,Triple,Doppelmayr,1981-1994,1690,1742,6797,,500,,,Top,Bottom,13.6,,beaver-creek-co/
26,Removed,Stump Park,Triple,Doppelmayr,1980-1996,1800,1245,5943,,475,,,Top,Bottom,12.5,,beaver-creek-co/
27,Removed,Upper Horseshoe,Triple,Doppelmayr,1980-1992,1800,866,3127,,475,,,Top,Bottom,6.6,,beaver-creek-co/
28,Removed,Westfall,Double,Doppelmayr,1980-2003,1200,2162,6453,,550,,,Top,Bottom,11.7,,beaver-creek-co/
29,Removed,Drink of Water,Double,Doppelmayr,1980-2017,1405,795,4355,,500,,,Top,Bottom,8.7,,beaver-creek-co/
2,Operating,Beaver Face,Double,Poma,1961-,800,1060,4200,,,79,12,Bottom,Bottom,,Retrofitted with CTEC terminals,beaver-mountain-ut/
3,Operating,Harry's Dream,Triple,Yan,2006-,,,,,,150,19,Bottom,Bottom,,"Relocated from Alta, UT. Has Garaventa CTEC sheaves and chairs that came with this lift from Alta.",beaver-mountain-ut/
4,Operating,Little Beaver,Triple,Skytrac,2011-,1500,385,1785,125,400,50,8,Bottom,Bottom,4.5,,beaver-mountain-ut/
5,Operating,Marge's,Triple,Yan,2002-,,,,,,150,19,Bottom,Bottom,,"Relocated from Keystone, CO by Doppelmayr with new bullwheels, sheaves, tower heads, and hangars.",beaver-mountain-ut/
6,Removed,Harry's Dream,Double,Miner-Denver,1969-2006,900,1489,4535,,500,137,,Bottom,Bottom,9.1,,beaver-mountain-ut/
7,Removed,Little Beaver,Double,Miner-Denver,1963-2011,900,40,1500,,,,,Bottom,Top,,,beaver-mountain-ut/
8,Removed,Poma,Platter,Poma,1967-,1000,720,2380,,900,,,,,2.6,,beaver-mountain-ut/
9,Removed,T-Bar,T-Bar,Homemade,1950-1960,,,2700,,,,,,,,,beaver-mountain-ut/
2,Operating,1,Quad,Doppelmayr,2022-,1800,450,2584,150,450,88,9,Top,Bottom,5.7,,beech-mountain-nc/
3,Operating,3,Double,Garaventa CTEC,2001-,800,161,784,30,375,28,3,Bottom,Bottom,2.1,,beech-mountain-nc/
4,Operating,4,Double,Garaventa CTEC,2001-,800,161,784,30,375,28,3,Bottom,Bottom,2.1,,beech-mountain-nc/
5,Operating,5,Quad,Doppelmayr,2018-,2400,745,3208,400,450,144,13,Top,Top,7.1,,beech-mountain-nc/
6,Operating,6,Quad,Doppelmayr,2018-,2000,744,3091,277,450,,11,Top,Top,6.9,,beech-mountain-nc/
7,Operating,7 Oz,Quad,Doppelmayr,,,,,,,,12,Top,Bottom,,Heron-Poma double chairs were replaced with Doppelmayr CTEC quad chairs in 2008,beech-mountain-nc/
8,Removed,1,Double,Goforth Brothers,1968-2022,,440,2750,,,,,Top,Top,,"Retrofitted with Doppelmayr chairs, sheaves and terminals.",beech-mountain-nc/
9,Removed,2,Double,Borvig,1981-2011,1200,545,2193,,450,,,Bottom,Bottom,4.9,,beech-mountain-nc/
10,Removed,3,Double,Goforth Brothers,1968-2001,,146,1200,,,,,Bottom,Top,,,beech-mountain-nc/
11,Removed,4,Double,Goforth Brothers,1968-2001,,146,1200,,,,,Bottom,Top,,,beech-mountain-nc/
12,Removed,5,High Speed Quad,Doppelmayr,1987-2018,2400,746,3143,400,1000,,,,,3.1,,beech-mountain-nc/
13,Removed,5,Double,Carlevaro-Savio,1967-1987,1000,750,3300,,,,,Bottom,Top,,Bubbles,beech-mountain-nc/
14,Removed,6,Double,Goforth Brothers,1968-2018,,687,3110,,,,,Top,Bottom,,Retrofitted with Doppelmayr chairs,beech-mountain-nc/
15,Removed,8,J-Bar,Goforth Brothers,1969-,600,25,250,,250,,,Top,Top,1,,beech-mountain-nc/
2,Operating,1,Quad,Doppelmayr,1988-,1500,510,1640,125,450,80,10,Bottom,Bottom,3.6,,belle-neige-qc/
3,Operating,2 La Fenster,Quad,Doppelmayr,2022-,2380,423,1853,195,450,75,9,Bottom,Bottom,4.1,,belle-neige-qc/
4,Operating,4,T-Bar,Hall,1967-,1000,162,948,,450,,6,Bottom,Top,2.1,,belle-neige-qc/
5,Removed,2,Double,Hall,1980-2022,,,,,,,10,Bottom,Top,,Relocated,belle-neige-qc/
6,Removed,,T-Bar,,1961-1980,,,,,,,,,,,,belle-neige-qc/
7,Removed,,T-Bar,,1961-1988,,,,,,,,,,,,belle-neige-qc/
8,Removed,,T-Bar,,1961-1988,,,,,,,,,,,,belle-neige-qc/
2,Operating,Belleayre Express,High Speed Quad,Doppelmayr CTEC,2006-,2400,1138,5196,600,1000,104,17,Bottom,Top,5.2,Formerly called Superchief,belleayre-ny/
3,Operating,Catskill Thunder,Gondola 8,Doppelmayr,2017-,2000,1339,6391,600,1000,60,16,Bottom,Top,6.4,,belleayre-ny/
4,Operating,Lightning,Quad,Doppelmayr,2019-,1997,447,3512,200,450,131,15,Bottom,Bottom,7.8,Loading carpet,belleayre-ny/
5,Operating,Lift 7,Triple,Riblet,1986-,1800,806,2720,200,500,113,20,Bottom,Bottom,5.4,Midstation,belleayre-ny/
6,Operating,Lift 8,Quad,Garaventa CTEC,1999-,2400,945,3635,400,450,162,21,Bottom,Bottom,8.1,Midstation,belleayre-ny/
7,Removed,Lift 1,Double,Doppelmayr,1982-2019,1200,480,3800,125,460,,17,Bottom,Bottom,8.3,,belleayre-ny/
8,Removed,Lift 2,Double,Doppelmayr,1982-2019,1200,480,3800,125,460,,17,Bottom,Bottom,8.3,,belleayre-ny/
9,Removed,Big,T-Bar,Roebling,,,,2040,,,,,,,,,belleayre-ny/
10,Removed,J-Bar,J-Bar,Hall,1966-1999,500,125,622,,275,,,,,2.3,,belleayre-ny/
11,Removed,Small,T-Bar,,,,,1000,,,,,,,,,belleayre-ny/
12,Removed,Summit,Double,Hall,1977-1999,1440,787,2883,,465,,,,,6.2,,belleayre-ny/
13,Removed,Superchief,Quad,Garaventa CTEC,1999-2006,2400,1138,5030,400,450,,17,Bottom,Bottom,11.2,,belleayre-ny/
14,Removed,Lift 3,Double,Roebling,1964-1986,900,443,3500,,,,,,,,,belleayre-ny/
15,Removed,Summit,Single,Roebling,1949-1977,,,,,,,,,,,,belleayre-ny/
16,Removed,Lift 6,Double,Roebling,-1982,,,,,,,,,,,,belleayre-ny/
17,Removed,Lift 7,Double,Roebling,-1982,,,,,,,,,,,,belleayre-ny/
2,Operating,Mountain Top,Triple,Poma,2009-,,,,,,,13,Bottom,Bottom,,"Relocated from Ski Rio, NM",berkshire-east-ma/
3,Operating,Summit,Quad,Skytrac,2014-,2400,936,3145,400,500,,14,Bottom,Bottom,6.3,,berkshire-east-ma/
4,Operating,Top Notch,Double,Hall,2001-,,,800,,,20,4,Bottom,Bottom,,"Relocated from Mount Tom, MA",berkshire-east-ma/
5,Operating,Wilderness Peak,Quad,Borvig,2003-,,,3000,,,,12,Bottom,Bottom,,"Relocated from Berthoud Pass, CO",berkshire-east-ma/
6,Removed,Broken Arrow,Double,Thiokol,1972-,1200,410,1715,75,450,,,,,3.8,,berkshire-east-ma/
7,Removed,Competition,T-Bar,Mueller,1963-,,,,,,,,,,,,berkshire-east-ma/
8,Removed,Diamond Express,Double,Hall,1978-2009,,920,3400,,550,,,Bottom,Bottom,6.1,"Relocated from Sierra-at-Tahoe, CA",berkshire-east-ma/
9,Removed,Exhibition View,Double,Mueller,1963-2003,1000,328,1400,,,,,Bottom,Bottom,,,berkshire-east-ma/
10,Removed,Little Beaver,Double,SLI,1978-1988,,,,,,,,,,,"Relocated from Stonecliffe/Mackinac College, MI",berkshire-east-ma/
11,Removed,Summit,Double,Mueller,1960-1995,,,,,,,,Bottom,Bottom,,,berkshire-east-ma/
12,Removed,Summit,Triple,Poma,1995-2014,,1000,4000,,450,118,,Bottom,Bottom,,"Relocated from Magic Mountain, VT",berkshire-east-ma/
13,Removed,Tenderfoot,Double,Thiokol,1972-1997,1400,95,500,30,400,,,,,1.3,,berkshire-east-ma/
14,Removed,Top Notch,J-Bar,Hall,-2001,,,,,,,,Bottom,Bottom,,,berkshire-east-ma/
2,Operating,Big Boulder,Triple,Borvig,1989-,1800,374,1550,100,450,,7,Bottom,Bottom,3.4,,big-boulder-pa/
3,Operating,Blue Heron,Quad,Skytrac,2022-,1800,219,1618,100,400,62,7,Bottom,Bottom,4,,big-boulder-pa/
4,Operating,Harmony,Quad,Skytrac,2022-,1800,386,1980,150,400,76,9,Bottom,Bottom,5,,big-boulder-pa/
5,Operating,Tannenbaum,Double,Borvig,2014-,,,,,,,7,Bottom,Bottom,,"Relocated from Shawnee Peak, ME",big-boulder-pa/
6,Removed,Big Boulder,Double,Borvig,1970-1989,1200,400,1700,,450,,,,,3.8,,big-boulder-pa/
7,Removed,Black Forest,Double,Hall,1968-2020,1200,380,2009,,465,,,,,4.3,,big-boulder-pa/
8,Removed,Die Fledermaus,J-Bar,,-1984,,,,,,,,,,,,big-boulder-pa/
9,Removed,Edelweiss,Triple,VonRoll-Habegger,1984-2022,1500,179,1423,,350,,8,Bottom,Bottom,4.1,,big-boulder-pa/
10,Removed,Little Boulder,Double,Hall,1981-2021,1200,177,1301,,400,,9,Bottom,Bottom,3.3,,big-boulder-pa/
11,Removed,Merry Widow I,Double,Borvig,1978-2022,1200,378,2010,,450,,10,Bottom,Bottom,4.5,,big-boulder-pa/
12,Removed,Merry Widow II,Double,Borvig,1979-2022,1200,378,2010,,450,,10,Bottom,Bottom,4.5,,big-boulder-pa/
13,Removed,Tannenbaum,Double,Borvig,1976-2014,1200,187,1258,,350,,,,,3.6,,big-boulder-pa/
2,Operating,Estes Bowl,T-Bar,Sneller,1964-,1100,137,1068,,,,7,Top,Top,,,big-creek-oh/
3,Operating,Show Off,T-Bar,Hall,1966-,1200,127,650,,450,,4,Top,Bottom,1.4,,big-creek-oh/
2,Operating,1,Double,Riblet,1976-,1200,235,2175,,450,94,15,Bottom,Bottom,4.8,,big-powderhorn-mi/
3,Operating,2,Double,Riblet,1987-,1200,352,2548,75,450,,13,Bottom,Bottom,5.7,,big-powderhorn-mi/
4,Operating,3,Double,Riblet,1969-,1200,374,2436,,450,,12,Bottom,Top,5.4,,big-powderhorn-mi/
5,Operating,4,Double,Riblet,1964-,1200,390,1670,,,75,8,Bottom,Top,,,big-powderhorn-mi/
6,Operating,5,Double,Riblet,1983-,1200,402,2097,,450,,13,Bottom,Bottom,4.7,,big-powderhorn-mi/
7,Operating,6,Double,Riblet,1964-,1140,418,2210,,,96,11,Bottom,Top,,,big-powderhorn-mi/
8,Operating,7,Double,Riblet,1981-,800,162,1610,,300,70,10,Bottom,Bottom,5.4,,big-powderhorn-mi/
9,Operating,8,Double,Riblet,1971-,1100,359,2400,,450,,13,Bottom,Top,5.3,,big-powderhorn-mi/
10,Operating,9,Double,Riblet,1993-,1000,331,2457,75,375,,15,Bottom,Bottom,6.6,,big-powderhorn-mi/
11,Removed,,T-Bar,Hall,1964-,1200,290,1700,,,,,,,,,big-powderhorn-mi/
2,Operating,Bear Back,Platter,Poma,1993-,,300,900,,,14,4,Bottom,Bottom,,Relocated,big-sky-resort-mt/
3,Operating,Cabin,Triple,Doppelmayr CTEC,2005-,1200,136,1691,40,500,24,7,Top,Bottom,3.4,,big-sky-resort-mt/
4,Operating,Cascade,Triple,CTEC,2002-,,448,3295,,,110,16,Top,Bottom,,"Relocated from Crystal Mountain, WA",big-sky-resort-mt/
5,Operating,Challenger,Triple,Doppelmayr,2016-,1232,1640,4380,377,500,121,18,Bottom,Bottom,8.9,,big-sky-resort-mt/
6,Operating,Dakota,Triple,Heron-Poma,2007-,,,,,,84,18,Bottom,Top,,Relocated from Southern Comfort,big-sky-resort-mt/
7,Operating,Derringer,Quad,Doppelmayr CTEC,2003-,1500,429,2544,100,425,47,9,Bottom,Bottom,6,,big-sky-resort-mt/
8,Operating,Explorer,Double,Heron-Poma,1973-,1200,622,3770,,500,150,14,Bottom,Bottom,,,big-sky-resort-mt/
9,Operating,Headwaters,Double,Yan,2005-,375,686,1421,125,375,24,7,Bottom,Bottom,3.8,"Relocated from Kirkwood, CA",big-sky-resort-mt/
10,Operating,Highlands,Triple,Doppelmayr,2019-,509,967,3850,100,500,44,10,Bottom,Bottom,7.7,,big-sky-resort-mt/
11,Operating,Homer,Platter,Doppelmayr CTEC,2005-,129,50,1250,15,450,10,7,Bottom,Bottom,2.8,,big-sky-resort-mt/
12,Operating,Iron Horse,Quad,Garaventa CTEC,1994-,1800,921,3215,250,450,72,14,Bottom,Bottom,7.1,,big-sky-resort-mt/
13,Operating,Jayhawk,Triple,Doppelmayr,2019-,486,207,2554,100,500,50,15,Top,,5.1,,big-sky-resort-mt/
14,Operating,Lewis & Clark,High Speed Quad,Doppelmayr CTEC,2005-,1600,715,4145,400,886,50,15,Top,Bottom,4.7,Bubbles,big-sky-resort-mt/
15,Operating,Little Thunder,Double,Riblet,2006-,922,71,,,,22,7,Bottom,Top,,"Relocated from Brighton, UT",big-sky-resort-mt/
16,Operating,Lone Moose,Triple,Yan,1999-,,1284,4000,,,122,17,Bottom,Bottom,6.2,"Relocated from Keystone, CO. Yan Chairs with Doppelmayr Grip, hanger, and bail. Some Doppelmayr towers.",big-sky-resort-mt/
17,Operating,Powder Seeker,High Speed Six,Doppelmayr,2016-,1800,807,2701,508,1000,33,13,Bottom,Top,2.7,Bubbles and heated seats,big-sky-resort-mt/
18,Operating,Lone Peak Tram,Tram 15,Doppelmayr,1995-,200,1450,2828,250,1180,2,0,Bottom,Top,2.4,,big-sky-resort-mt/
19,Operating,Lone Tree,Quad,Doppelmayr CTEC,2004-,1500,650,1550,152,450,44,7,Bottom,Bottom,3.4,,big-sky-resort-mt/
20,Operating,Pony Express,Triple,Garaventa CTEC,1995-,1800,573,3115,200,500,85,12,Top,Bottom,6.2,,big-sky-resort-mt/
21,Operating,Ramcharger 8,High Speed Eight,Doppelmayr,2018-,3600,1160,4461,680,1000,65,13,Top,Bottom,4.5,Bubbles and heated seats,big-sky-resort-mt/
22,Operating,Sacajawea,Triple,Doppelmayr CTEC,2005-,1200,538,2638,125,500,36,9,Top,Bottom,5.3,,big-sky-resort-mt/
23,Operating,Shedhorn 4,High Speed Quad,Doppelmayr,2018-,1600,1487,4738,500,1000,67,18,Top,Bottom,4.7,Relocated from Ramcharger,big-sky-resort-mt/
24,Operating,Six Shooter,High Speed Six,Doppelmayr CTEC,2003-,1800,1828,8700,900,1050,85,30,Bottom,,8.3,,big-sky-resort-mt/
25,Operating,Southern Comfort,High Speed Quad,Doppelmayr CTEC,2004-,1800,1250,6055,500,1000,89,21,Top,Bottom,6.1,,big-sky-resort-mt/
26,Operating,Stagecoach,Double,Skytrac,2017-,,,,,,61,9,Top,Top,,Doppelmayr chairs and towers.,big-sky-resort-mt/
