1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
4,Removed,,Platter,Poma,1969-,600,145,870,,420,,,,,2.1,,antelope-butte-wy/
5,Removed,,T-Bar,Constam,1964-,600,655,2460,,,,,,,,,antelope-butte-wy/
2,Operating,Rock Garden,Triple,Riblet,1999-,1800,800,3201,200,450,,18,Bottom,Bottom,7.1,,anthony-lakes-or/
3,Removed,,Double,Riblet,1967-1999,1200,747,3508,125,,127,19,Bottom,Top,,,anthony-lakes-or/
4,Removed,,Platter,Poma,1962-1967,1200,,3300,,,,,,,,,anthony-lakes-or/
2,Operating,Skydigger,Quad,Doppelmayr,2014-,2000,626,2644,200,450,98,11,Bottom,Bottom,5.9,,antoine-mountain-on/
3,Removed,,Triple,Skyway,1979-2014,1800,630,2650,,450,,,,,5.9,Did not operate 2000-2014,antoine-mountain-on/
4,Removed,,Double,Poma,1974-2014,1200,620,2700,,480,,,,,5.6,Did not operate 2000-2014,antoine-mountain-on/
2,Operating,Quickdraw,High Speed Quad,Doppelmayr,1994-,2400,1809,5300,710,1024,79,18,Top,Bottom,5.2,,apex-bc/
3,Operating,Stock's,Triple,Mueller,1981-,1800,1144,4566,,450,158,18,Top,Bottom,10.1,,apex-bc/
4,Operating,T-Bar,T-Bar,Mueller,1968-,1200,680,2500,,,,8,Bottom,Bottom,,,apex-bc/
5,Removed,Village,Platter,Doppelmayr,1991-2005,483,155,1144,20,1000,,,,,1.1,,apex-bc/
6,Removed,,Double,Riblet,1978-1994,1200,1554,4630,,500,,,,,9.3,,apex-bc/
2,Operating,1,Quad,Doppelmayr,1994-,2200,122,520,75,350,30,3,Bottom,Bottom,1.5,,appalachian-nc/
3,Operating,2,Double,Doppelmayr,1992-,1200,263,1196,75,340,74,8,Bottom,Bottom,3.5,,appalachian-nc/
4,Operating,3,Quad,Doppelmayr,1984-,2400,260,1000,,400,50,5,Bottom,Bottom,2.5,,appalachian-nc/
5,Removed,,Double,Goforth Brothers,1973-,1200,235,1300,,325,,,,,4,,appalachian-nc/
6,Removed,,Double,Goforth Brothers,1969-,1000,150,1000,,400,,,,,2.5,,appalachian-nc/
2,Operating,Beavers,Quad,Leitner-Poma,2018-,1800,1501,4123,400,450,138,15,Top,Top,9.2,,arapahoe-basin-co/
3,Operating,Black Mountain Express,High Speed Quad,Leitner-Poma,2010-,2000,717,2875,400,1000,,,Top,,2.9,,arapahoe-basin-co/
4,Operating,Lenawee Express,High Speed Six,Leitner-Poma,2022-,2400,1018,4002,800,1000,57,15,Bottom,Dual,4,,arapahoe-basin-co/
5,Operating,Molly Hogan,Quad,Leitner-Poma,2020-,800,57,398,50,350,11,2,Top,Top,1.1,,arapahoe-basin-co/
6,Operating,Pallavicini,Double,Leitner-Poma,2020-,1200,1325,3512,400,500,141,12,Bottom,Bottom,7,,arapahoe-basin-co/
7,Operating,Zuma,Quad,Leitner-Poma,2007-,1900,1113,4117,300,450,147,18,Top,Top,9.2,,arapahoe-basin-co/
8,Removed,Exhibition,Triple,Yan,1978-2010,1800,711,2775,,475,116,14,Top,Bottom,5.8,,arapahoe-basin-co/
9,Removed,Exhibition,Double,Telecar,1965-1978,900,729,3031,,500,,,,,6.1,,arapahoe-basin-co/
